format,image,mana_cost,name,percentage_deck,played_number,type
pauper,https://cdn1.mtggoldfish.com/images/gf/Silhana%2BLedgewalker%2B%255BGPT%255D.jpg,0,Silhana Ledgewalker,10%,3.0,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Krark-Clan%2BShaman%2B%255BMRD%255D.jpg,0,Krark-Clan Shaman,10%,2.2,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Mulldrifter%2B%255BAFC%255D.jpg,0,Mulldrifter,9%,3.7,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Lone%2BMissionary%2B%255BMB1%255D.jpg,0,Lone Missionary,9%,2.1,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Gladecover%2BScout%2B%255BM14%255D.jpg,0,Gladecover Scout,9%,4.0,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Slippery%2BBogle%2B%255BEVE%255D.jpg,0,Slippery Bogle,9%,4.0,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Fiery%2BCannonade%2B%255BCMR%255D.jpg,0,Fiery Cannonade,19%,1.7,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Chainer%2527s%2BEdict%2B%255BUMA%255D.jpg,0,Chainer's Edict,18%,2.3,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Cast%2BDown%2B%255BCMR%255D.jpg,0,Cast Down,18%,2.5,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Flaring%2BPain%2B%255BJUD%255D.jpg,0,Flaring Pain,18%,1.6,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Ichor%2BWellspring%2B%255B2XM%255D.jpg,0,Ichor Wellspring,17%,3.8,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Experimental%2BSynthesizer%2B%255BNEO%255D.jpg,0,Experimental Synthesizer,17%,3.6,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Duress%2B%255BDTK%255D.jpg,0,Duress,17%,2.8,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Weather%2Bthe%2BStorm%2B%255BMH1%255D.jpg,0,Weather the Storm,17%,2.3,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Rancor%2B%255BAFC%255D.jpg,0,Rancor,15%,3.9,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Hydroblast%2B%255B5ED%255D.jpg,0,Hydroblast,15%,3.1,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Suffocating%2BFumes%2B%255BIKO%255D.jpg,0,Suffocating Fumes,15%,2.5,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Journey%2Bto%2BNowhere%2B%255BZEN%255D.jpg,0,Journey to Nowhere,14%,2.4,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Crimson%2BAcolyte%2B%255BIN%255D.jpg,0,Crimson Acolyte,9%,2.5,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Spire%2BGolem%2B%255BDST%255D.jpg,0,Spire Golem,8%,3.3,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Quirion%2BRanger%2B%255BMH2%255D.jpg,0,Quirion Ranger,8%,3.4,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Voldaren%2BEpicure%2B%255BVOW%255D.jpg,0,Voldaren Epicure,8%,3.9,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Faerie%2BMiscreant%2B%255BM20%255D.jpg,0,Faerie Miscreant,8%,4.0,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Crimson%2BFleet%2BCommodore%2B%255BCMR%255D.jpg,0,Crimson Fleet Commodore,8%,1.6,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Scattershot%2BArcher%2B%255BCON%255D.jpg,0,Scattershot Archer,8%,2.8,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Sea%2BGate%2BOracle%2B%255BC14%255D.jpg,0,Sea Gate Oracle,8%,2.9,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Abrade%2B%255BVOW%255D.jpg,0,Abrade,14%,1.3,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Brainstorm%2B%255BC21%255D.jpg,0,Brainstorm,13%,3.1,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Echoing%2BTruth%2B%255BC19%255D.jpg,0,Echoing Truth,12%,1.2,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Revoke%2BExistence%2B%255BSOM%255D.jpg,0,Revoke Existence,11%,2.0,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Spell%2BPierce%2B%255BNEO%255D.jpg,0,Spell Pierce,11%,2.0,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Annul%2B%255BKHM%255D.jpg,0,Annul,10%,2.8,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Prismatic%2BStrands%2B%255BC19%255D.jpg,0,Prismatic Strands,10%,3.0,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Ethereal%2BArmor%2B%255BRTR%255D.jpg,0,Ethereal Armor,10%,4.0,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Golden%2BEgg%2B%255BELD%255D.jpg,0,Golden Egg,10%,3.2,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Faithless%2BLooting%2B%255BC21%255D.jpg,0,Faithless Looting,10%,3.3,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Deadly%2BDispute%2B%255BAFR%255D.jpg,0,Deadly Dispute,10%,3.8,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Thermo-Alchemist%2B%255BEMN%255D.jpg,0,Thermo-Alchemist,7%,4.0,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Martyr%2Bof%2BAshes%2B%255BCSP%255D.jpg,0,Martyr of Ashes,6%,2.1,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Stormbound%2BGeist%2B%255BDKA%255D.jpg,0,Stormbound Geist,6%,2.3,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Ghitu%2BLavarunner%2B%255BDOM%255D.jpg,0,Ghitu Lavarunner,6%,2.8,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Archaeomancer%2B%255BM14%255D.jpg,0,Archaeomancer,6%,2.5,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Squadron%2BHawk%2B%255BA25%255D.jpg,0,Squadron Hawk,6%,4.0,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Stonehorn%2BDignitary%2B%255BM12%255D.jpg,0,Stonehorn Dignitary,6%,2.2,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Burning-Tree%2BEmissary%2B%255BMM3%255D.jpg,0,Burning-Tree Emissary,5%,4.0,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Ardent%2BElementalist%2B%255BMID%255D.jpg,0,Ardent Elementalist,5%,1.3,creatures
pauper,https://cdn1.mtggoldfish.com/images/gf/Nest%2BInvader%2B%255BMM2%255D.jpg,0,Nest Invader,5%,3.9,creatures
modern,https://cdn1.mtggoldfish.com/images/gf/Misty%2BRainforest%2B%255BMH2%255D.jpg,0,Misty Rainforest,46%,2.8,lands
modern,https://cdn1.mtggoldfish.com/images/gf/Steam%2BVents%2B%255BGRN%255D.jpg,0,Steam Vents,44%,1.8,lands
modern,https://cdn1.mtggoldfish.com/images/gf/Forest%2B%253C254%253E%2B%255BTHB%255D.jpg,0,Forest,38%,2.3,lands
modern,https://cdn1.mtggoldfish.com/images/gf/Boseiju%252C%2BWho%2BEndures%2B%255BNEO%255D.jpg,0,"Boseiju, Who Endures",38%,2.1,lands
modern,https://cdn1.mtggoldfish.com/images/gf/Island%2B%253C251%253E%2B%255BTHB%255D.jpg,0,Island,37%,2.3,lands
pauper,https://cdn1.mtggoldfish.com/images/gf/Abundant%2BGrowth%2B%255BAFC%255D.jpg,0,Abundant Growth,10%,3.9,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Ram%2BThrough%2B%255BIKO%255D.jpg,0,Ram Through,10%,2.1,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Mutagenic%2BGrowth%2B%255BNPH%255D.jpg,0,Mutagenic Growth,9%,2.5,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Utopia%2BSprawl%2B%255BAFC%255D.jpg,0,Utopia Sprawl,9%,4.0,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Unexpected%2BFangs%2B%255BIKO%255D.jpg,0,Unexpected Fangs,9%,1.8,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Ancestral%2BMask%2B%255BEMA%255D.jpg,0,Ancestral Mask,9%,4.0,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Armadillo%2BCloak%2B%255BIN%255D.jpg,0,Armadillo Cloak,9%,4.0,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Smash%2Bto%2BSmithereens%2B%255BORI%255D.jpg,0,Smash to Smithereens,9%,3.6,spells
pauper,https://cdn1.mtggoldfish.com/images/gf/Rally%2Bthe%2BPeasants%2B%255BEMA%255D.jpg,0,Rally the Peasants,9%,2.1,spells
